100 4784
27 50 19
2 23 13
89 92 17
42 94 2
10 61 6
29 37 7
33 85 23
57 59 28
90 98 1
40 67 3
13 39 30
0 17 3
44 85 8
48 71 9
9 50 25
19 37 15
25 28 9
30 57 16
11 63 28
28 60 17
1 75 30
44 81 9
48 87 24
4 5 6
40 61 5
20 91 1
32 51 2
0 94 28
45 65 27
62 91 20
0 53 27
21 47 13
55 62 21
75 83 26
6 24 30
2 75 24
21 39 13
13 89 1
3 19 2
27 58 28
21 95 13
6 14 30
52 76 6
21 72 30
26 76 28
4 35 11
81 92 26
52 61 4
14 86 29
31 59 13
52 77 27
20 72 27
17 18 7
2 22 30
43 86 20
44 89 19
10 65 8
5 36 16
50 56 19
29 79 19
45 52 27
25 34 27
12 42 26
12 96 20
34 85 7
65 76 20
33 97 24
62 63 18
68 87 28
8 10 6
41 46 18
39 47 23
36 64 4
35 44 10
14 77 2
0 85 13
4 98 10
2 13 1
29 68 15
73 77 7
25 89 9
20 69 16
53 64 28
36 60 22
3 8 11
18 19 6
78 82 9
10 39 17
38 60 25
46 72 22
9 94 3
33 75 16
28 56 16
55 92 26
66 83 19
76 80 17
44 54 28
12 37 28
10 35 3
0 12 17
30 34 26
19 95 2
73 99 25
58 98 7
24 89 2
42 86 26
51 77 16
29 53 12
52 99 6
58 96 23
39 62 5
12 67 15
76 94 2
77 97 24
4 27 4
14 64 9
40 62 15
52 86 14
9 10 21
29 70 7
59 91 4
